title,description,url,cover,categoryName,recipe,protein,carbs,fat,fiber,calories
Bolo de Cenoura Fácil,Aprenda a fazer um bolo de cenoura simples e delicioso.,assets/videos/Bolo-de-Cenoura-Facil.mp4,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de cenoura fácil.,3.7,21.2,4.9,1.6,144
Bolo de Cenoura,Receita tradicional de bolo de cenoura com cobertura.,assets/videos/Bolo-de-Cenoura.mp4,https://images.unsplash.com/photo-1621303837174-89787a7d4729?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de cenoura.,4.4,22.4,5.8,2.2,159
Bolo de Chocolate,Um bolo de chocolate super fofo e saboroso.,assets/videos/Bolo-de-Chocolate.mp4,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de chocolate.,5.1,23.6,6.7,1,175
Bolo de Laranja,Delicioso bolo de laranja com sabor cítrico marcante.,assets/videos/Bolo-de-Laranja.mp4,https://images.unsplash.com/photo-1557925923-cd4648e211a0?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de laranja.,5.8,24.8,4,1.6,158
Bolo de Limão,Receita leve de bolo de limão com um toque cítrico.,assets/videos/Bolo-de-Limao.mp4,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de limão.,3,26,4.9,2.2,160
Bolo de Milho com Goiabada,Bolo delicioso de milho com pedaços de goiabada.,assets/videos/Bolo-de-Milho-com-Goibada.mp4,https://images.unsplash.com/photo-1586444248902-2f64eddc13df?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolo de milho com goiabada.,3.7,20,5.8,1,147
Bolo de Pote Proteico,Uma opção saudável e prática de bolo proteico.,assets/videos/Bolo-de-pote-proteico.mp4,https://images.unsplash.com/photo-1563729784474-d77dbb933a9e?w=400&h=300&fit=crop,Receitas Fit,Receita simulada para bolo de pote proteico.,4.4,21.2,6.7,1.6,163
Bolocuca de Banana,Uma cuca deliciosa feita com bananas maduras.,assets/videos/Bolocuca-de-banana.mp4,https://images.unsplash.com/photo-1603569283847-aa295f0d016a?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para bolocuca de banana.,5.1,22.4,4,2.2,146
Brownie no Pote,Delicioso brownie no pote para sobremesa ou presente.,assets/videos/Brownie-no-Pote.mp4,https://images.unsplash.com/photo-1606313564200-e75d5e30476c?w=400&h=300&fit=crop,Sobremesas,Receita simulada para brownie no pote.,5.8,23.6,4.9,1,162
Brownie Proteico,Uma versão saudável e deliciosa do brownie clássico.,assets/videos/Brownie-proteico.mp4,https://images.unsplash.com/photo-1607920591413-4ec007e70023?w=400&h=300&fit=crop,Receitas Fit,Receita simulada para brownie proteico.,3,24.8,5.8,1.6,163
Cupcake de Banana,Cupcake fofinho de banana para o lanche da tarde.,assets/videos/Cupcake-de-Banana.mp4,https://images.unsplash.com/photo-1614707267537-b85aaf00c4b7?w=400&h=300&fit=crop,Sobremesas,Receita simulada para cupcake de banana.,3.7,26,6.7,2.2,179
Cuca de Uva e Banana,Receita tradicional de cuca com uva e banana.,assets/videos/Cuca-de-Uva-e-Banana.mp4,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400&h=300&fit=crop,Bolos e Tortas,Receita simulada para cuca de uva e banana.,4.4,20,4,1,134
Escondidinha com Burrata,Uma versão sofisticada de escondidinha com burrata.,assets/videos/Bolo-de-Laranja.mp4,https://images.unsplash.com/photo-1574484284002-952d92456975?w=400&h=300&fit=crop,Pratos Salgados,Receita simulada para escondidinha com burrata.,5.1,21.2,4.9,1.6,149
